epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,6254.28,1.28822,1.21062,1.44053,0.69342,0.53285,0.54001,0.36136,1.19287,0.82284,1.46907,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,6411.77,1.27957,1.18112,1.42878,0.70065,0.52961,0.54046,0.36231,1.18967,0.81975,1.46594,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,6567.29,1.28513,1.19698,1.4328,0.69005,0.53641,0.54305,0.36381,1.18535,0.81615,1.46174,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,6722.99,1.28218,1.20118,1.44238,0.69806,0.52049,0.54606,0.3652,1.18208,0.81269,1.45809,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,6879.27,1.28392,1.19313,1.4336,0.70405,0.52042,0.54476,0.36531,1.18041,0.80876,1.45619,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,7034.19,1.27205,1.17463,1.42875,0.70609,0.51994,0.54405,0.36596,1.17848,0.80622,1.45334,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,7191.99,1.26759,1.16653,1.42465,0.70501,0.51969,0.5458,0.3672,1.1774,0.80377,1.45211,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,7347.04,1.27366,1.17241,1.42965,0.7093,0.51896,0.54488,0.36657,1.17598,0.802,1.45007,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
48,7500.6,1.26323,1.15194,1.41855,0.70846,0.51959,0.54547,0.36646,1.17479,0.80006,1.44908,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,7655.05,1.25781,1.1541,1.41911,0.70312,0.52034,0.54527,0.36702,1.17349,0.79685,1.44803,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,7809.82,1.27182,1.17333,1.42877,0.69783,0.5235,0.54652,0.36768,1.17183,0.79551,1.44641,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,7963.77,1.25898,1.15312,1.41912,0.69179,0.53187,0.54694,0.36687,1.17072,0.79455,1.44492,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,8122.14,1.2617,1.1466,1.41552,0.69421,0.53318,0.54901,0.36882,1.16936,0.793,1.4434,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,8279.27,1.2658,1.15136,1.4259,0.69393,0.53324,0.54644,0.3682,1.16687,0.79124,1.44093,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
54,8433.8,1.25003,1.13397,1.41578,0.69427,0.53406,0.5467,0.3687,1.16458,0.78934,1.43868,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141
55,8592.53,1.25958,1.13808,1.41125,0.6902,0.54229,0.5482,0.36967,1.16246,0.78768,1.43631,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
56,8749.1,1.25033,1.13478,1.41166,0.65064,0.5522,0.54793,0.36938,1.16093,0.78616,1.43486,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
57,8904.64,1.25408,1.14489,1.40878,0.63383,0.55609,0.54846,0.37002,1.16049,0.78407,1.43399,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
58,9061.15,1.24891,1.13087,1.40876,0.63128,0.56536,0.54981,0.37097,1.15921,0.78179,1.43265,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495
59,9220.63,1.25205,1.13008,1.40602,0.64336,0.55383,0.55066,0.37157,1.15793,0.77942,1.43139,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
60,9377.02,1.24298,1.12051,1.39954,0.65178,0.55051,0.55181,0.37219,1.15669,0.77814,1.42981,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208
61,9532.36,1.23999,1.1108,1.39775,0.65618,0.54276,0.55144,0.37287,1.15495,0.77615,1.42791,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
62,9687.59,1.24232,1.10734,1.39677,0.65847,0.54074,0.55235,0.37349,1.15443,0.77431,1.4272,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628
63,9842.22,1.23529,1.1164,1.4034,0.66058,0.54203,0.55311,0.37406,1.15261,0.77235,1.42542,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
64,9994.58,1.24296,1.1106,1.40254,0.66381,0.54221,0.55384,0.37389,1.15149,0.77068,1.4242,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766
65,10151.8,1.24264,1.11591,1.40472,0.66449,0.54262,0.55472,0.3753,1.15041,0.76975,1.4229,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
66,10303.1,1.22708,1.09362,1.39244,0.66446,0.54331,0.55495,0.37532,1.14973,0.76778,1.42202,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
67,10453.9,1.23316,1.09895,1.3925,0.66369,0.54472,0.55592,0.3759,1.14938,0.7657,1.42145,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
68,10608.1,1.21726,1.09123,1.38578,0.6652,0.54478,0.55514,0.37586,1.14896,0.76375,1.42103,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252
69,10761.7,1.22242,1.09114,1.39172,0.57844,0.60904,0.55491,0.37547,1.14723,0.76194,1.41928,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
70,10917.7,1.22128,1.08823,1.38929,0.58423,0.60865,0.5551,0.37665,1.14595,0.75953,1.41802,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625
71,11072.2,1.22473,1.08674,1.38877,0.63551,0.55488,0.55522,0.37676,1.14545,0.757,1.41784,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
72,11225.7,1.2246,1.0844,1.38788,0.63633,0.55503,0.55518,0.37663,1.14363,0.75525,1.41598,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277
73,11380.6,1.21841,1.0669,1.38141,0.64721,0.55075,0.55609,0.37671,1.14233,0.75299,1.41481,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
74,11535.1,1.21253,1.07283,1.38167,0.64485,0.54752,0.5565,0.37689,1.14085,0.75094,1.41335,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087
75,11691,1.2178,1.08397,1.38378,0.64571,0.55132,0.55677,0.37722,1.13996,0.749,1.41212,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
76,11848.4,1.21265,1.06223,1.38,0.58793,0.59569,0.55706,0.37741,1.13878,0.74705,1.411,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
77,12005.5,1.21555,1.0627,1.3782,0.59455,0.6058,0.55669,0.37815,1.13749,0.74516,1.40946,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
78,12163.3,1.20837,1.05786,1.37492,0.6003,0.60439,0.5573,0.37863,1.13559,0.74305,1.40769,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997
79,12322.1,1.20836,1.05721,1.37621,0.6002,0.60563,0.55772,0.37928,1.13425,0.74083,1.40645,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
80,12481.4,1.19845,1.04271,1.36364,0.6017,0.60534,0.55808,0.37915,1.13279,0.73915,1.40473,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339
81,12640,1.20376,1.04382,1.36449,0.59773,0.6146,0.55863,0.37993,1.13171,0.73702,1.40366,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
82,12796.8,1.2006,1.03844,1.36638,0.59624,0.62302,0.55826,0.38019,1.1308,0.73506,1.40262,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055
83,12953,1.1955,1.04951,1.3706,0.6008,0.62156,0.55952,0.38152,1.12964,0.73371,1.40126,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
84,13107.2,1.19964,1.04142,1.37219,0.60472,0.61646,0.56077,0.38189,1.12873,0.73182,1.40029,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617
85,13262.2,1.19909,1.04153,1.3694,0.61148,0.61518,0.56129,0.38202,1.12744,0.72977,1.39897,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
86,13415.9,1.1957,1.03785,1.36456,0.61093,0.61519,0.56218,0.38265,1.12656,0.72769,1.39818,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
87,13570.2,1.18863,1.02521,1.35524,0.60292,0.61537,0.563,0.38344,1.12505,0.72515,1.39659,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
88,13726.1,1.18826,1.02803,1.35643,0.60638,0.61567,0.56329,0.38419,1.12327,0.7227,1.39497,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538
89,13877.5,1.18807,1.02423,1.35921,0.61001,0.61948,0.56484,0.38517,1.12208,0.72056,1.39372,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
90,14032.9,1.18583,1.02335,1.36218,0.60858,0.62117,0.56476,0.38537,1.12055,0.71829,1.39247,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105
