epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,5132.39,1.23014,1.09517,1.38976,0.56592,0.5749,0.54701,0.36486,1.15942,0.79428,1.43222,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,5250.64,1.23096,1.10029,1.3856,0.61076,0.57357,0.54043,0.36562,1.15032,0.7843,1.42307,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,5368.8,1.22582,1.09217,1.38802,0.55201,0.60212,0.54219,0.36593,1.14636,0.77854,1.42065,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,5487.23,1.22205,1.09356,1.38935,0.5486,0.59713,0.55199,0.37604,1.13195,0.76675,1.40494,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,5605.87,1.21703,1.08319,1.38778,0.55609,0.60327,0.54581,0.37337,1.1319,0.77231,1.40446,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,5723.75,1.22267,1.07914,1.38411,0.53782,0.62057,0.54455,0.37064,1.12266,0.7623,1.39039,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,5841.6,1.21266,1.06853,1.37667,0.6241,0.6054,0.55785,0.38183,1.12422,0.7477,1.39165,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,5958.98,1.21733,1.07259,1.3794,0.54523,0.59171,0.55666,0.38103,1.12188,0.74311,1.39058,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,6078.49,1.20721,1.06185,1.37999,0.55984,0.60218,0.55939,0.38526,1.11301,0.73942,1.3845,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,6195.53,1.20721,1.06749,1.37676,0.54873,0.61645,0.55445,0.38176,1.10208,0.73334,1.37557,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,6310.85,1.2003,1.04879,1.36922,0.55837,0.60117,0.5542,0.38204,1.09912,0.72875,1.37128,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,6429.11,1.19834,1.04349,1.36954,0.62984,0.59232,0.56407,0.38752,1.09531,0.72448,1.36796,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
